"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"476","RT @KristenClarkeJD: Sunday marks 66 yrs since the Supreme Court's landmark ruling in #BrownvBoard

The goals underlying #Brown remain unfu",FALSE,0,NA,2020-05-19 23:38:32,FALSE,NA,"1262890414106914827",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ohjeffallen",31,TRUE,FALSE,NA,NA
"477","RT @RupsaChak: Good news!

Today, in a single day, 600 recovered #covid patients have been discharged in #Mumbai.",FALSE,0,NA,2020-05-19 23:38:32,FALSE,NA,"1262890411980238849",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kirannmehta",36,TRUE,FALSE,NA,NA
"478","RT @PatriotPennsy: @POTUS is taking HCQ &amp; Zinc prophylacticly! #COVID #HCQ #HCQWorksFauciKnewIn2005 

https://t.co/gKq5sV8st6",FALSE,0,NA,2020-05-19 23:38:27,FALSE,NA,"1262890392854376450",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Here4Trump2020",104,TRUE,FALSE,NA,NA
"479","RT @SallyDeal4: @grantstern @realDonaldTrump @foxandfriends Grant, DJT doesn't care about the #TrumpDeathToll93K, he cares about ratings, c",FALSE,0,NA,2020-05-19 23:38:19,FALSE,NA,"1262890358519869440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LisaHauser8",49,TRUE,FALSE,NA,NA
"480","RT @Tombx7M: Cuomos legacy
People are going to die
Especially under my leadership 

#Ccot #KAG2020 #Trump2020 #COVID #coronavirus #Tcot #F",FALSE,0,NA,2020-05-19 23:38:16,FALSE,NA,"1262890346951958536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CrosbyJenet",354,TRUE,FALSE,NA,NA
"481","RT @delawaredave: @SenSchumer .@SenSchumer @NYGovCuomo and @NYCMayor are the THREE STOOGES OF #COVID19 .

NY is 45% of USA deaths, only 6%",FALSE,0,NA,2020-05-19 23:38:15,FALSE,NA,"1262890341868470274",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NovoDoce",6,TRUE,FALSE,NA,NA
"482","Will ANYONE die of OLD AGE anymore? Or has #covid become the obvious to blame
Natural Causes: What Does it Mean to https://t.co/oGbqBlWiL8",FALSE,0,NA,2020-05-19 23:38:14,TRUE,NA,"1262890338319925248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vb_lord",0,FALSE,FALSE,NA,NA
"483","#COVID Conversations: a series of interviews, conversations &amp; info on coping with the pandemic. Learn about https://t.co/Q6mmRhxyxD",FALSE,1,NA,2020-05-19 23:38:09,TRUE,NA,"1262890315788189700",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FHHospice",1,FALSE,FALSE,NA,NA
"484","RT @UN_SDG: This #COVID pandemic is impacting us all. Now, more than ever, the  needs a strong @UN coordination on the ground to #LeaveN",FALSE,0,NA,2020-05-19 23:38:07,FALSE,NA,"1262890308645289985",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","waweru_nyokabi",15,TRUE,FALSE,NA,NA
"485","RT @CristobalJAlex: VP Biden at tonights virtual townhall on #COVID and food security: The intelligence community didnt fail. The preside",FALSE,0,NA,2020-05-19 23:38:07,FALSE,NA,"1262890307126992899",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Solutioneer72",9,TRUE,FALSE,NA,NA
"486","RT @RobertWilonsky: A tornado took their school in October. #COVID took the final months of their senior year. Scenes from a parade, and a",FALSE,0,NA,2020-05-19 23:38:06,FALSE,NA,"1262890304258088964",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chris_kratovil",9,TRUE,FALSE,NA,NA
"487","RT @KarenTumlin: Watching my sis @Grei_sa right now on @UNITEDWEDREAMs FB live. If your week, month, last months have been challenging, do",FALSE,0,NA,2020-05-19 23:38:03,FALSE,NA,"1262890293369737232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cynthia09xx",3,TRUE,FALSE,NA,NA
"488","RT @PAkankwatsa: When Life gives you a hundred  reasons to cry,,
SHOW  LIFE THAT, 
You have a thousand reasons  
TO SMILE 
Stay strong  we",FALSE,0,NA,2020-05-19 23:38:02,FALSE,NA,"1262890286428151809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulioDelivad",5,TRUE,FALSE,NA,NA
"489","RT @JkwalkerAuthor: If the federal gov't issued standards, you could say, ""Abide by these as standard of care for re-opening. That gives yo",FALSE,0,NA,2020-05-19 23:38:02,FALSE,NA,"1262890285505241088",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gnwayland",5,TRUE,FALSE,NA,NA
"490","RT @RobertKennedyJr: HUGE CONFLICT OF INTEREST: The former #pharma executive tapped by President #Trump to lead the federal government's hu",FALSE,0,NA,2020-05-19 23:38:01,FALSE,NA,"1262890284444237824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","truthcraving",1246,TRUE,FALSE,NA,NA
"491","RT @PAkankwatsa: When Life gives you a hundred  reasons to cry,,
SHOW  LIFE THAT, 
You have a thousand reasons  
TO SMILE 
Stay strong  we",FALSE,0,NA,2020-05-19 23:38:01,FALSE,NA,"1262890283135574016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shamie_ug",5,TRUE,FALSE,NA,NA
"492","@DNC, the commies, they love unconstitutional, oppressive government, #covid pandemic lovers. https://t.co/nVmaog9ogu",FALSE,0,"DNC",2020-05-19 23:38:01,FALSE,NA,"1262890282170933248","722793491059769344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kckokomo",0,FALSE,FALSE,NA,NA
"493","RT @JoanneBaia: .@SteveFDA Do for #ALS what you did for #COVID. #ALS is 100% fatal!
Help ALS patients access promising treatments NOW! We d",FALSE,0,NA,2020-05-19 23:38:00,FALSE,NA,"1262890278366609409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandratebarcoll",26,TRUE,FALSE,NA,NA
"494","RT @NAACP: #COVID has killed 90k Americans but Senate's moving more Trump judges.

Next is #CoryWilson who believes there's no such thing a",FALSE,0,NA,2020-05-19 23:37:52,FALSE,NA,"1262890245160386560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grollen",49,TRUE,FALSE,NA,NA
"495","Useful commentary on the AMS challenges when faced with deteriorating COVID-19 patients, resisting prescribing broa https://t.co/FlHXqeP89Y",FALSE,0,NA,2020-05-19 23:37:52,TRUE,NA,"1262890244740837376",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nadinehillock",0,FALSE,FALSE,NA,NA
"496","RT @Tombx7M: Things to get you through the depressing social distancing..  humanity is closer than you think

#Ccot #KAG2020 #Trump2020 #CO",FALSE,0,NA,2020-05-19 23:37:52,FALSE,NA,"1262890243444834304",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tcheart2shop",689,TRUE,FALSE,NA,NA
"497","My first day back! #covid https://t.co/EiXpNfwn6o",FALSE,2,NA,2020-05-19 23:37:50,FALSE,NA,"1262890236318633984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dessiemi96",0,FALSE,FALSE,NA,NA
"498","RT @the_hindu: India, U.S. to collaborate on #COVID-19 vaccine trials, say U.S. health officials https://t.co/Z56BzQePMz",FALSE,0,NA,2020-05-19 23:37:49,FALSE,NA,"1262890231939948546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","i_mjohnsonmark",46,TRUE,FALSE,NA,NA
"499","RT @CathyCongress: #BlackRock is making Modest Fees of 40 million $ off winning an exclusive Fed job to buy back bonds due to #Covid cris",FALSE,0,NA,2020-05-19 23:37:49,FALSE,NA,"1262890231361155077",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Greg_ggs51",213,TRUE,FALSE,NA,NA
"500","RT @PAkankwatsa: When Life gives you a hundred  reasons to cry,,
SHOW  LIFE THAT, 
You have a thousand reasons  
TO SMILE 
Stay strong  we",FALSE,0,NA,2020-05-19 23:37:49,FALSE,NA,"1262890231264694272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TrishaAb4",5,TRUE,FALSE,NA,NA
"501","RT @FundNavajo: Please join us in providing relief for the Navajo Nation. #CovidWarriors #InThisTogether #UnitedAgainstCoronavirus #virus #",FALSE,0,NA,2020-05-19 23:37:48,FALSE,NA,"1262890229586952195",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marram72",77,TRUE,FALSE,NA,NA
"502","RT @brithume: Quote: Except for the most at-risk populations  who should be the focus of our protective efforts  #COVID looks to be a mi",FALSE,0,NA,2020-05-19 23:37:40,FALSE,NA,"1262890194023276549",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","notgoodinternet",2672,TRUE,FALSE,NA,NA
"503","RT @michaelgwaltz: The @WHO's allegiance to #China's communist government has been on full display during the #COVID pandemic. 

@realDonal",FALSE,0,NA,2020-05-19 23:37:36,FALSE,NA,"1262890178366054400",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Mattladaround",1464,TRUE,FALSE,NA,NA
"504","RT @scidocmartin: ""We can rapidly return to the old normal, and the emissions pathway will follow suit. But if we choose otherwise, 2020",FALSE,0,NA,2020-05-19 23:37:32,FALSE,NA,"1262890162293542912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lindenashcroft",12,TRUE,FALSE,NA,NA
"505","RT @RealNatalieRowe: Today the Corona R Rate is up and the Government now claims the the figures are from 2 weeks ago ! ... theyre now jus",FALSE,0,NA,2020-05-19 23:37:32,FALSE,NA,"1262890159344955393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","markgreig5",93,TRUE,FALSE,NA,NA
"506","RT @delawaredave: @SenSchumer .@SenSchumer @NYGovCuomo and @NYCMayor are the THREE STOOGES OF #COVID19 .

NY is 45% of USA deaths, only 6%",FALSE,0,NA,2020-05-19 23:37:29,FALSE,NA,"1262890149295374337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","guy_next_to_me",6,TRUE,FALSE,NA,NA
"507","RT @ProjectLincoln: .@ThomTillis' silence in the face of Trumps negligent handling of #covid-19 is disgraceful.

Among 83,000+ Americans d",FALSE,0,NA,2020-05-19 23:37:29,FALSE,NA,"1262890146753646593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hondo750",8602,TRUE,FALSE,NA,NA
"508","RT @ProjectLincoln: .@ThomTillis' silence in the face of Trumps negligent handling of #covid-19 is disgraceful.

Among 83,000+ Americans d",FALSE,0,NA,2020-05-19 23:37:23,FALSE,NA,"1262890122313379840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SwmCoachMichael",8602,TRUE,FALSE,NA,NA
"509","RT @Wendy_Bacon: Did you notice that the hype about #Covid app had quickly died down. Talk about oversell by #Morrison #Murphy &amp; others. #C",FALSE,0,NA,2020-05-19 23:37:20,FALSE,NA,"1262890112938995712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bromideW",37,TRUE,FALSE,NA,NA
"510","RT @ashoswai: In Modi's New India, even #CoronaVirus test kits are allocated on the basis of religion - 5000 #COVID test kits were diverted",FALSE,0,NA,2020-05-19 23:37:19,FALSE,NA,"1262890107998257158",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Syedataseer3",772,TRUE,FALSE,NA,NA
"511","RT @DrLee4America: MUST READ! 
Physician speaks out on risks of rushing a #vaccine for #COVID-19. 

A vaccine at 'warp speed'? Why the",FALSE,0,NA,2020-05-19 23:37:18,FALSE,NA,"1262890104345047052",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrMartyFox",12,TRUE,FALSE,NA,NA
"512","RT @_MariettaDavis: Ruairi O Leochain, a school teacher &amp; wildlife activist,decided to make a beehive made entirely out of LEGOsduring hi",FALSE,0,NA,2020-05-19 23:37:17,FALSE,NA,"1262890099685146626",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","patriot_ann",27,TRUE,FALSE,NA,NA
"513","Paul Manly identifies the issues of food security and the relationship between local business and the agriculture s https://t.co/kKbh51O2qz",FALSE,2,NA,2020-05-19 23:37:10,TRUE,NA,"1262890067590123520",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sarmcbride",2,FALSE,FALSE,NA,NA
